Benchmark                                         (kind)  (offset)  (size)  Mode  Cnt        Score        Error  Units
c.m.a.b.create.SetCreateBench.createBulk        arrayset       N/A       1  avgt    6        2.119 ±      0.180  ns/op
c.m.a.b.create.SetCreateBench.createBulk        arrayset       N/A      10  avgt    6        2.070 ±      0.044  ns/op
c.m.a.b.create.SetCreateBench.createBulk        arrayset       N/A     100  avgt    6        2.227 ±      0.391  ns/op
c.m.a.b.create.SetCreateBench.createBulk        arrayset       N/A    1000  avgt    6        2.119 ±      0.173  ns/op
c.m.a.b.create.SetCreateBench.createBulk        arrayset       N/A   10000  avgt    6        2.077 ±      0.032  ns/op
c.m.a.b.create.SetCreateBench.createBulk        arrayset       N/A  100000  avgt    6        2.073 ±      0.025  ns/op
c.m.a.b.create.SetCreateBench.createBulk         hashset       N/A       1  avgt    6       18.918 ±      0.229  ns/op
c.m.a.b.create.SetCreateBench.createBulk         hashset       N/A      10  avgt    6       59.912 ±      0.569  ns/op
c.m.a.b.create.SetCreateBench.createBulk         hashset       N/A     100  avgt    6      479.961 ±     45.938  ns/op
c.m.a.b.create.SetCreateBench.createBulk         hashset       N/A    1000  avgt    6     4968.950 ±    512.663  ns/op
c.m.a.b.create.SetCreateBench.createBulk         hashset       N/A   10000  avgt    6    58517.144 ±  12487.580  ns/op
c.m.a.b.create.SetCreateBench.createBulk         hashset       N/A  100000  avgt    6   697425.356 ± 103898.513  ns/op
c.m.a.b.create.SetCreateBench.createBulk       sortedset       N/A       1  avgt    6       10.500 ±      0.128  ns/op
c.m.a.b.create.SetCreateBench.createBulk       sortedset       N/A      10  avgt    6       66.251 ±      4.039  ns/op
c.m.a.b.create.SetCreateBench.createBulk       sortedset       N/A     100  avgt    6      902.918 ±    136.060  ns/op
c.m.a.b.create.SetCreateBench.createBulk       sortedset       N/A    1000  avgt    6    26033.315 ±   2284.654  ns/op
c.m.a.b.create.SetCreateBench.createBulk       sortedset       N/A   10000  avgt    6   417188.678 ±  28560.765  ns/op
c.m.a.b.create.SetCreateBench.createBulk       sortedset       N/A  100000  avgt    6  6209317.410 ± 102328.607  ns/op
c.m.a.b.create.SetCreateBench.createElements    arrayset       N/A       1  avgt    6        2.062 ±      0.025  ns/op
c.m.a.b.create.SetCreateBench.createElements    arrayset       N/A      10  avgt    6        2.082 ±      0.049  ns/op
c.m.a.b.create.SetCreateBench.createElements    arrayset       N/A     100  avgt    6        2.076 ±      0.014  ns/op
c.m.a.b.create.SetCreateBench.createElements    arrayset       N/A    1000  avgt    6        2.068 ±      0.018  ns/op
c.m.a.b.create.SetCreateBench.createElements    arrayset       N/A   10000  avgt    6        2.062 ±      0.035  ns/op
c.m.a.b.create.SetCreateBench.createElements    arrayset       N/A  100000  avgt    6        2.156 ±      0.087  ns/op
